Luxembourg,Luxembourg,Europe
Macedonia,Skopje,Europe
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Malaysia,Kuala Lumpur,Asia
Maldives,Malé,Asia
Mali,Bamako,Africa
Malta,Valletta,
Marshall Islands,Majuro,
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Mexico,Mexico City,North America
Moldova,Chisinau,
Monaco,Monaco,
Mongolia,Ulaanbaatar,Asia
Montenegro,Podgorica,
Montserrat,Plymouth,
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Myanmar,Yangon,Asia
Nagorno-Karabakh Republic,Stepanakert,
Namibia,Windhoek,Africa
Nauru,Yaren,Oceania
Nepal,Kathmandu,Asia
Netherlands,Amsterdam,Europe
New Caledonia,Nouméa,
New Zealand,Wellington,Oceania
Nicaragua,Managua,North America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Niue,Alofi,
Norfolk Island,Kingston,
North Korea,Pyongyang,Asia
Northern Cyprus,Nicosia,Europe
United Kingdom Northern Ireland,Belfast,Europe
Northern Mariana Islands,Saipan,
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Ngerulmud,Oceania
Palestine,Jerusalem,Asia
Panama,Panama City,North America
Papua New Guinea,Port Moresby,Oceania
Paraguay,Asunción,South America
Peru,Lima,South America
Philippines,Manila,Asia
Pitcairn Islands,Adamstown,
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Puerto Rico,San Juan,
Qatar,Doha,Asia
Republic of China (Taiwan),Taipei,Asia
Republic of the Congo,Brazzaville,
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Barthélemy,Gustavia,
Saint Helena,Jamestown,
Saint Kitts and Nevis,Basseterre,
Saint Lucia,Castries,North America
Saint Martin,Marigot,
Saint Pierre and Miquelon,St. Pierre,
Saint Vincent and the Grenadines,Kingstown,
Samoa,Apia,Oceania
San Marino,San Marino,Europe
Saudi Arabia,Riyadh,Asia
Scotland,Edinburgh,Europe
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Sint Maarten,Philipsburg,
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,
Somalia,Mogadishu,Africa
Somaliland,Hargeisa,Africa
South Africa,Pretoria,Africa
South Georgia and the South Sandwich Islands,Grytviken,
South Korea,Seoul,Asia
South Ossetia,Tskhinvali,
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Colombo,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,South America
Swaziland,Mbabane,Africa
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
São Tomé and Príncipe,São Tomé,Africa
Tajikistan,Dushanbe,Asia
Tanzania,Dodoma,Africa
Thailand,Bangkok,Asia
Togo,Lomé,Africa
Tonga,Nukuʻalofa,
Transnistria,Tiraspol,
Trinidad and Tobago,Port of Spain,North America
Tristan da Cunha,Edinburgh of the Seven Seas,
Tunisia,Tunis,Africa
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,
Turks and Caicos Islands,Cockburn Town,
Tuvalu,Funafuti,
Uganda,Kampala,Africa
Ukraine,Kiev,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom (England),London,Europe
United States,"Washington D.C.",North America
United States Virgin Islands,Charlotte Amalie,
Uruguay,Montevideo,South America
Uzbekistan,Tashkent,Europe
Vanuatu,Port Vila,
Vatican City,Vatican City,Europe
Venezuela,Caracas,South America
Vietnam,Hanoi,Asia
Wales,Cardiff,
Wallis and Futuna,Mata-Utu,
Western Sahara,El Aaiún,Africa
Yemen,Sanaá,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
